"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"52276-54140","RB","Dalvin","Dalvin Cook","Cook","23.44545399058949","11","10200","MIN@TB","MIN","TB","","","","",""
"52276-55050","RB","Christian","Christian McCaffrey","McCaffrey","16.38000030517578","5","10000","DEN@CAR","CAR","DEN","D","Thigh","","",""
"52276-39280","RB","Derrick","Derrick Henry","Henry","18.28333282470703","12","9600","TEN@JAC","TEN","JAC","","","","",""
"52276-45889","WR","Davante","Davante Adams","Adams","22.089999389648437","10","9600","GB@DET","GB","DET","","","","",""
"52276-6894","QB","Aaron","Aaron Rodgers","Rodgers","23.866666158040363","12","9100","GB@DET","GB","DET","","","","",""
"52276-53681","WR","Tyreek","Tyreek Hill","Hill","19.8249994913737","12","9000","KC@MIA","KC","MIA","","","","",""
"52276-22015","QB","Russell","Russell Wilson","Wilson","24.87999979654948","12","9000","NYJ@SEA","SEA","NYJ","","","","",""
"52276-57439","QB","Patrick","Patrick Mahomes","Mahomes","26.058334350585938","12","8900","KC@MIA","KC","MIA","","","","",""
"52276-40442","RB","Aaron","Aaron Jones","Jones","17.530000305175783","10","8700","GB@DET","GB","DET","","","","",""
"52276-73048","WR","DK","DK Metcalf","Metcalf","16.28333282470703","12","8600","NYJ@SEA","SEA","NYJ","","","","",""
"52276-29253","WR","Keenan","Keenan Allen","Allen","14.77500025431315","12","8500","ATL@LAC","LAC","ATL","","","","",""
"52276-69189","QB","Justin","Justin Herbert","Herbert","22.58727333762429","11","8300","ATL@LAC","LAC","ATL","","","","",""
"52276-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","14.366666158040365","12","8200","ARI@NYG","ARI","NYG","Q","Neck","","",""
"52276-33076","TE","Travis","Travis Kelce","Kelce","16.546666463216145","12","8200","KC@MIA","KC","MIA","","","","",""
"52276-64555","WR","Calvin","Calvin Ridley","Ridley","15.03636308149858","11","8100","ATL@LAC","ATL","LAC","","","","",""
"52276-63484","QB","Kyler","Kyler Murray","Murray","26.498334248860676","12","8100","ARI@NYG","ARI","NYG","","","","",""
"52276-72846","WR","A.J.","A.J. Brown","Brown","14.65","10","8000","TEN@JAC","TEN","JAC","","","","",""
"52276-130288","RB","James","James Robinson","Robinson","16.900000254313152","12","8000","TEN@JAC","JAC","TEN","","","","",""
"52276-54879","QB","Deshaun","Deshaun Watson","Watson","23.56499989827474","12","8000","HOU@CHI","HOU","CHI","","","","",""
"52276-27050","WR","Tyler","Tyler Lockett","Lockett","14.116666158040365","12","7900","NYJ@SEA","SEA","NYJ","","","","",""
"52276-21948","QB","Ryan","Ryan Tannehill","Tannehill","20.88166681925456","12","7900","TEN@JAC","TEN","JAC","","","","",""
"52276-6498","QB","Tom","Tom Brady","Brady","20.808333079020183","12","7800","MIN@TB","TB","MIN","","","","",""
"52276-42104","RB","Alvin","Alvin Kamara","Kamara","20.483333587646484","12","7800","NO@PHI","NO","PHI","","","","",""
"52276-85671","WR","Justin","Justin Jefferson","Jefferson","14.883333841959635","12","7800","MIN@TB","MIN","TB","","","","",""
"52276-45565","QB","Taysom","Taysom Hill","Hill","8.896666844685873","12","7700","NO@PHI","NO","PHI","","","","",""
