First Name,Last Name,Position,Salary,FD Points,Sunday Million,H2H
Lamar,Jackson,QB,9400.00,27.5,19.69%,56.78%
Russell,Wilson,QB,8400.00,31.78,9.05%,5.23%
Cam,Newton,QB,7300.00,25.7,8.43%,9.89%
Drew,Brees,QB,8100.00,14.4,7.00%,3.14%
Matt,Ryan,QB,7800.00,24.9,5.79%,4.09%
Josh,Allen,QB,7900.00,28.18,5.68%,3.53%
Tom,Brady,QB,7600.00,22.46,5.65%,2.04%
Carson,Wentz,QB,7700.00,15,4.96%,2.61%
Mitchell,Trubisky,QB,6900.00,24.28,3.28%,0.98%
Jimmy,Garoppolo,QB,7400.00,19.26,3.04%,1.57%
Teddy,Bridgewater,QB,6800.00,19.4,3.03%,1.34%
Aaron,Rodgers,QB,7500.00,30.76,2.88%,1.00%
Tyrod,Taylor,QB,7000.00,9.02,2.78%,1.93%
Philip,Rivers,QB,7100.00,16.82,2.77%,1.09%
Matthew,Stafford,QB,7300.00,17.18,2.65%,1.12%
Derek,Carr,QB,7100.00,13.56,2.54%,0.67%
Kyler,Murray,QB,7700.00,27.3,2.37%,0.71%
Joe,Burrow,QB,6600.00,17.32,1.89%,0.62%
Gardner,Minshew,QB,6700.00,20.82,1.72%,0.64%
Ryan,Fitzpatrick,QB,6400.00,8.44,1.47%,0.29%
Dwayne,Haskins,QB,6500.00,12.82,0.93%,0.15%
Kirk,Cousins,QB,7200.00,22.76,0.88%,0.21%
Baker,Mayfield,QB,7000.00,10.86,0.75%,0.17%
Sam,Darnold,QB,6800.00,12.2,0.21%,0.04%
Christian,McCaffrey,RB,10000.00,26.9,36.74%,65.44%
Boston,Scott,RB,4700.00,6.4,29.25%,70.88%
Josh,Jacobs,RB,8200.00,33.9,22.43%,31.00%
Austin,Ekeler,RB,7700.00,9.2,22.35%,13.31%
Dalvin,Cook,RB,8700.00,21.3,17.88%,19.10%
Joe,Mixon,RB,7300.00,5.6,13.44%,9.39%
Alvin,Kamara,RB,8300.00,21.2,10.67%,5.76%
Marlon,Mack,RB,6100.00,7.1,10.22%,4.21%
Todd,Gurley,RB,7100.00,12.7,10.16%,5.17%
