Week,Year,GID,Last Name,First Name,Pos,Team,h/a,Oppt,FD points,FD salary
4,2020,1501,Prescott, Dak,QB,dal,h,cle,38.28,8200
4,2020,1131,Brady, Tom,QB,tam,h,lac,33.46,7300
4,2020,1252,Rodgers, Aaron,QB,gnb,h,atl,29.58,8000
4,2020,1439,Bridgewater, Teddy,QB,car,h,ari,27.24,6800
4,2020,1527,Jackson, Lamar,QB,bal,a,was,26.02,9600
4,2020,1529,Allen, Josh,QB,buf,a,lvr,25.42,8600
4,2020,1552,Herbert, Justin,QB,lac,a,tam,24,6700
4,2020,1524,Darnold, Sam,QB,nyj,h,den,23.6,6700
4,2020,1340,Stafford, Matthew,QB,det,h,nor,23.34,7200
4,2020,1242,Fitzpatrick, Ryan,QB,mia,h,sea,23.3,7100
4,2020,1537,Murray, Kyler,QB,ari,a,car,23.12,8400
4,2020,1514,Wentz, Carson,QB,phi,a,sfo,22.42,7200
4,2020,1540,Minshew, Gardner,QB,jac,a,cin,21.94,7400
4,2020,1412,Wilson, Russell,QB,sea,a,mia,21.9,9000
4,2020,1518,Watson, Deshaun,QB,hou,h,min,20.9,7800
4,2020,1441,Carr, Derek,QB,lvr,h,buf,20.44,6900
4,2020,1523,Mahomes II, Patrick,QB,kan,h,nwe,20.24,8700
4,2020,1538,Haskins, Dwayne,QB,was,h,bal,18.86,6500
4,2020,1151,Brees, Drew,QB,nor,a,det,16.54,7700
4,2020,1550,Burrow, Joe,QB,cin,h,jac,16.1,7400
4,2020,1528,Mayfield, Baker,QB,cle,a,dal,15.2,7000
4,2020,1415,Cousins, Kirk,QB,min,a,hou,14.9,6800
4,2020,1555,Rypien, Brett,QB,den,a,nyj,14.18,6500
4,2020,1413,Foles, Nick,QB,chi,h,ind,12.86,7100
4,2020,1301,Ryan, Matt,QB,atl,a,gnb,12.4,7700
4,2020,1490,Goff, Jared,QB,lar,h,nyg,11.7,7500
4,2020,1231,Rivers, Philip,QB,ind,a,chi,11.2,6700
4,2020,1539,Jones, Daniel,QB,nyg,a,lar,11.1,6600
4,2020,1534,Mullens, Nick,QB,sfo,h,phi,8,6600
4,2020,1520,Beathard, C.J.,QB,sfo,h,phi,5.52,6000
4,2020,1542,Stidham, Jarrett,QB,nwe,a,kan,4.7,6000
4,2020,1336,Hoyer, Brian,QB,nwe,a,kan,3,6000
4,2020,1554,Hurts, Jalen,QB,phi,a,sfo,1.8,6000
4,2020,1494,Driskel, Jeff,QB,den,a,nyj,0.9,6500
4,2020,1302,Flacco, Joe,QB,nyj,h,den,0.64,6000
4,2020,1334,Daniel, Chase,QB,det,h,nor,0,6000
4,2020,1544,Boyle, Tim,QB,gnb,h,atl,-0.1,6000
4,2020,1408,Griffin III, Robert,QB,bal,a,was,-0.7,6000
4,2020,5535,Mixon, Joe,RB,cin,h,jac,39.1,6800
4,2020,5559,Cook, Dalvin,RB,min,a,hou,27.6,8700
4,2020,2991,Gordon, Melvin,RB,den,a,nyj,24.8,7100
4,2020,5565,Carson, Chris,RB,sea,a,mia,23.5,7900
4,2020,5827,Gibson, Antonio,RB,was,h,bal,20.8,5500
4,2020,2899,Murray, Latavius,RB,nor,a,det,20.8,4900
4,2020,5543,Jones, Aaron,RB,gnb,h,atl,19.6,8400
